state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0,5353016.6676604645,2321576.775512882,567037.8632605396,3008179.825358721,1800229.7086950648,1549215.1627332312,1234883.0446990947,1097593.9008123197,756291.6891319556,277638.1309982972,7019398.534348992,2732032.37080928,923148.0483280469,798375.322765456,1141637.3981145362,1077702.3750171475,550848.5263369466,510474.94303912006,1949505.3631284442,1128940.7727149497,1700711.0597141671,1117875.678351113,1484037.4706268955,270821.3139326039,775096.8913494236,2557124.7860403936,1321067.2532851265,2762228.6348915044,1750095.8626929496,1378316.3093492696,1808406.7308702562,1427376.0283460235,713147.8033427952,1929550.0372322956,910882.8248190101,974014.089207676,3334203.805659346,1190106.5302593403,1666480.9894658413,545807.9762344207,1630192.5737348313,310887.06666801777,1033011.3659811922,2377627.0455479776,1725158.9581638838,949252.7445285453,3323548.326156629,825213.8111889736,1206038.3882737006,2065807.555481128
Alaska,5353016.6676604645,0,4072858.228218585,4873767.183139333,3531953.0664364155,3808295.8192792153,5338134.143133641,5374759.585929021,5345221.904942847,6104065.144109884,5493174.396129196,4517266.281693029,2905166.318376935,4537631.682291353,4739895.392040778,4222826.48828392,4340421.556493012,5004831.636708912,5315450.680667946,5254639.320010677,5334716.542173581,5347699.401098028,4628735.931443943,3919105.2978825723,5240127.885461972,4578498.801282563,2878523.884147225,4050942.749912781,3440458.738029242,5265726.058565448,5346356.664996159,4204892.962618554,5236762.835170485,5499221.011134448,3432096.27554534,4901711.748159098,4585248.26970012,2509987.35616011,5198650.818288186,5389658.599791667,5563368.175738919,3725073.7344064163,5119731.445208795,4981538.324166046,3387473.391914144,5121904.241253111,5404235.885855029,2317069.819197755,5152143.220224042,4295294.290822426,3438590.9012699937
Arizona,2321576.775512882,4072858.228218585,0,1785026.1179087698,748565.3251837589,900192.5589769832,3524292.2285320377,3291257.1455191867,3165910.3151458823,2936198.237783514,2592763.6639464707,4698370.855315274,1239744.6938427917,2236193.243502781,2385378.124229169,1900527.2266272919,1473431.6137645226,2444083.245180696,1931872.869693433,3805898.971952387,3185122.375117043,3651346.4182175514,2627019.987352651,2037080.06857479,2063706.2515925232,1858549.500907102,1504550.3833131513,1526164.7484025592,655017.5865885766,3649278.839464899,3391108.231800556,526311.1614303227,3371002.3366681,2942227.1997494167,1873043.4147743345,2691957.5109920604,1384294.2395230788,1570364.2028236429,3155144.231634341,3644685.3943513003,2835440.4941098127,1622991.6005950659,2331183.364367107,1368741.6011660837,798163.7963093019,3550533.4497768385,3080231.4549598875,1761992.7745717512,2823997.896400278,2283267.1901081535,1117294.1799569943
Arkansas,567037.8632605396,4873767.183139333,1785026.1179087698,0,2451362.6879136586,1235699.0175201881,1853635.8585766493,1574838.7775478736,1439734.1181258915,1295042.4426413353,819954.1593829448,6473870.89215984,2177928.528538812,776878.1443303772,792567.6989170834,780540.1656601959,538804.484853259,718475.1117012105,480391.0968474831,2207687.337127626,1464577.2266936542,1997479.8716927157,1132242.469770823,1146419.5418671502,371763.8867632353,390795.58595271636,2032156.8035592218,824733.6964504507,2198171.032860852,2022024.2510861363,1697573.3526016828,1262903.71643114,1709312.7649941405,1161918.8755470004,1503731.4124798898,1054939.5919259596,410840.1986269663,2775711.882477862,1472384.3300485492,1976748.5793199083,1051161.4990858189,1162579.5456616876,553558.0625912255,644150.282200167,1811886.5614870198,1958841.9026258925,1328205.574796594,2778260.50289096,1105265.1536714388,1015641.4298791396,1517759.9241368761
California,3008179.825358721,3531953.0664364155,748565.3251837589,2451362.6879136586,0,1335486.4278598311,4067450.525748022,3868377.1051283227,3752552.1858061766,3658828.1011789977,3270786.2745324327,4031851.675754565,1042915.8170990469,2770675.2452284787,2947547.3903190554,2393894.9957827125,2051719.9179384182,3053863.7961664204,2654654.6627202947,4300775.026638474,3767627.41121298,4181267.795509856,3136120.7489943146,2430268.1084468295,2761652.1944438596,2449471.5152367735,1450722.452093389,2008302.1531512495,332933.5414217512,4164614.8287492692,3951419.64632787,1207079.885984411,3913818.7460927432,3581490.050867692,2118715.0113965846,3251018.6976434314,2040738.1620416043,1057628.8306589718,3716440.6756314477,4182884.038718076,3497200.3648061357,1983946.2233902602,2976679.0188301327,2103352.572515555,871305.6635221476,4050875.6225374113,3687326.0654460504,1328835.286577537,3416046.3483998557,2753472.2584884595,1341740.6705476358
Colorado,1800229.7086950648,3808295.8192792153,900192.5589769832,1235699.0175201881,1335486.4278598311,0,2731968.567259056,2537124.2225895347,2424575.07029901,2525565.256925268,2035963.5850007604,5347938.577296728,963981.9285709385,1435599.8453863019,1616456.2885553245,1059925.0118130841,748875.4727394636,1744203.3079477649,1581163.5871276825,2972996.6656199126,2438237.588814987,2846528.7491327063,1802310.5207203114,1144010.6736709087,1594713.1925831574,1139604.0749837658,942028.5212715537,673826.0450932051,1031272.1583625077,2831833.162291784,2616917.61180426,548183.3490226809,2578332.374310475,2288014.584706906,993857.7890325667,1917836.9847303901,850628.8271425742,1546278.5712989378,2382445.014058968,2847564.804187331,2231030.3625314482,722799.9674909398,1702740.1244679003,1174660.5450573156,578665.6726487029,2721066.8198305196,2368815.091251763,1580770.5880314515,2092190.004591122,1427558.4351814005,381654.09788027074
Connecticut,1549215.1627332312,5338134.143133641,3524292.2285320377,1853635.8585766493,4067450.525748022,2731968.567259056,0,321748.77212028246,453873.39204372856,1717862.9194370687,1335128.098575869,8054942.145453769,3413543.882147832,1298405.1384780433,1139090.1399959403,1675960.513821006,2051030.1465615893,1135295.4842196172,2049562.6123672258,418316.78037211054,421402.1224087846,151656.21002615054,939486.8319585272,1729388.9683546082,1783480.1672110525,1670203.3352077855,3068554.0881743054,2059934.948242807,3757807.8037152165,220264.30284060084,172688.19526515325,3005416.252807236,153895.0152251138,884753.7081697298,2207437.1617106576,833048.8460217011,2185271.528169028,3998186.7860883516,381290.7819194662,123189.88890674192,1094070.3842829522,2152067.8625896685,1336801.501401295,2485304.1419157586,3250718.983583357,285123.01215139386,613648.3513116532,3864806.9472198724,752877.3889708727,1341884.6053430801,2802390.0998740797
Delaware,1234883.0446990947,5374759.585929021,3291257.1455191867,1574838.7775478736,3868377.1051283227,2537124.2225895347,321748.77212028246,0,138409.41503231486,1410176.8685343643,1014356.6487429398,7882067.770060579,3281253.3780685826,1107832.4808631053,920961.3910323692,1502127.7855808623,1826040.4991547891,860532.9813150091,1739540.9182709048,738316.5511888076,110445.44739176468,472337.13687782414,809900.6393675792,1619231.4388372689,1476319.7052356969,1433469.3496658218,2963190.0864824466,1875387.3691170835,3568261.3560253847,537657.633151555,149645.58655524583,2767341.5071546896,244038.77250337915,563244.2694502902,2120600.9417613707,620995.3204281086,1928217.983473607,3878525.2320294008,180446.77569941897,433217.9855368736,772711.3378746297,2013041.5238190615,1040530.0671566561,2195056.357771127,3077792.4494530014,561133.8295059045,292137.31638849125,3768344.5834157076,472096.318943215,1213162.3741493237,2645965.085481987
District of Columbia,1097593.9008123197,5345221.904942847,3165910.3151458823,1439734.1181258915,3752552.1858061766,2424575.07029901,453873.39204372856,138409.41503231486,0,1306251.6622948633,881800.884042364,7772052.562820193,3188934.3998012324,1004638.7176271568,809217.611014185,1401479.457207219,1705457.8952619033,728340.6278434324,1601469.9401450728,865566.3706172055,33798.35016549367,605456.1476475825,740478.036162904,1542765.4998269673,1337972.1879773405,1310511.0846065572,2881649.962265761,1768512.1978103735,3455771.3310268237,664221.272036558,281560.3003830927,2641086.3308839714,351862.22253184725,439726.716560022,2049741.2060267145,519734.9520502004,1797878.1304070048,3789699.9872302995,174275.30352333796,569083.398852501,648749.8908316407,1922402.9607263473,902847.2753121008,2057610.8272351674,2971545.157648195,670801.5524925009,165444.29284377396,3688298.423961519,342105.84813755704,1134056.6700515638,2546462.76946901
Florida,756291.6891319556,6104065.144109884,2936198.237783514,1295042.4426413353,3658828.1011789977,2525565.256925268,1717862.9194370687,1410176.8685343643,1306251.6622948633,0,631917.2279046195,7612047.023433731,3472969.9802948926,1609948.3880858757,1437309.9422914397,1883319.8905075446,1825312.2885081973,1157205.5387959224,1004936.0465026519,2133323.564904617,1339171.3959875219,1857765.2617617669,1683781.3555333293,2208881.9809308047,930870.8533703805,1529924.0695470069,3311853.8890092904,2077164.9183120667,3440869.6657376937,1938116.6766201323,1555151.49727164,2452820.6457416336,1651843.5771401236,882365.2024337585,2674557.5791053497,1414718.1394733074,1678387.793438348,4069572.8283950887,1464688.3089202098,1807153.4509644082,695878.2396389595,2384889.1655937787,992662.3228058305,1570993.691423824,3096678.253804579,1971003.8668465193,1144415.9945861904,4071539.909064191,1213666.784950993,1884335.0979311485,2811422.7617712705
